3						
#n	pH(k)	F(k)	pH(k+1)
  7.7987257e+000	  5.1804173e+002	  7.8095480e+000	
  7.8095480e+000	  5.1625287e+002	  7.6592651e+000	
  7.6592651e+000	  5.1625287e+002	  7.5585656e+000	
  7.5585656e+000	  5.1625287e+002	  7.4851888e+000	
  7.4851888e+000	  5.1625287e+002	  7.4290005e+000	
  7.4290005e+000	  5.1625287e+002	  7.3845488e+000	
  7.3845488e+000	  5.1625287e+002	  7.3485673e+000	
  7.3485673e+000	  5.1625287e+002	  7.3189465e+000	
  7.3189465e+000	  5.1625287e+002	  7.2942462e+000	
  7.2942462e+000	  5.1625287e+002	  7.2734407e+000	
  7.2734407e+000	  5.1625287e+002	  7.2557743e+000	
  7.2557743e+000	  5.1625287e+002	  7.2406752e+000	
  7.2406752e+000	  5.1625287e+002	  7.2277006e+000	
  7.2277006e+000	  5.1625287e+002	  7.2165018e+000	
  7.2165018e+000	  5.1625287e+002	  7.2067993e+000	
  7.2067993e+000	  5.1625287e+002	  7.1983667e+000	
  7.1983667e+000	  5.1625287e+002	  7.1910177e+000	
  7.1910177e+000	  5.1625287e+002	  7.1845985e+000	
  7.1845985e+000	  5.1891004e+002	  7.2514486e+000	
  7.2514486e+000	  5.1891004e+002	  7.3207606e+000	
  7.3207606e+000	  5.1891004e+002	  7.3930647e+000	
  7.3930647e+000	  5.1891004e+002	  7.4690505e+000	
  7.4690505e+000	  5.1867939e+002	  7.5363196e+000	
  7.5363196e+000	  5.1867939e+002	  7.6060647e+000	
  7.6060647e+000	  5.1867939e+002	  7.6787837e+000	
  7.6787837e+000	  5.1867939e+002	  7.7551020e+000	
  7.7551020e+000	  5.1867939e+002	  7.8358092e+000	
  7.8358092e+000	  5.1867939e+002	  7.9219022e+000	
  7.9219022e+000	  5.1867939e+002	  8.0146214e+000	
  8.0146214e+000	  5.1867939e+002	  8.1154333e+000	
  8.1154333e+000	  5.1867939e+002	  8.2258270e+000	
  8.2258270e+000	  5.1867939e+002	  8.3465988e+000	
  8.3465988e+000	  5.1867939e+002	  8.4761485e+000	
  8.4761485e+000	  5.1867939e+002	  8.6082478e+000	
  8.6082478e+000	  5.1867939e+002	  8.7326915e+000	
  8.7326915e+000	  5.1867939e+002	  8.8409849e+000	
  8.8409849e+000	  5.1867939e+002	  8.9305477e+000	
  8.9305477e+000	  5.1867939e+002	  9.0031640e+000	
  9.0031640e+000	  5.1867939e+002	  9.0619798e+000	
  9.0619798e+000	  5.1824862e+002	  8.9778809e+000	
  8.9778809e+000	  5.1824862e+002	  8.8946190e+000	
  8.8946190e+000	  5.1824862e+002	  8.8145608e+000	
  8.8145608e+000	  5.1824862e+002	  8.7400566e+000	
  8.7400566e+000	  5.1824862e+002	  8.6728134e+000	
  8.6728134e+000	  5.1824862e+002	  8.6135758e+000	
  8.6135758e+000	  5.1824862e+002	  8.5622305e+000	
  8.5622305e+000	  5.1824862e+002	  8.5181298e+000	
  8.5181298e+000	  5.1824862e+002	  8.4803992e+000	
  8.4803992e+000	  5.1824862e+002	  8.4481371e+000	
  8.4481371e+000	  5.1824862e+002	  8.4205136e+000	
  8.4205136e+000	  5.1824862e+002	  8.3968061e+000	
  8.3968061e+000	  5.1824862e+002	  8.3764027e+000	
  8.3764027e+000	  5.1824862e+002	  8.3587923e+000	
  8.3587923e+000	  5.1824862e+002	  8.3435500e+000	
  8.3435500e+000	  5.1824862e+002	  8.3303228e+000	
  8.3303228e+000	  5.1824862e+002	  8.3188165e+000	
  8.3188165e+000	  5.1824862e+002	  8.3087855e+000	
  8.3087855e+000	  5.1824243e+002	  8.2982612e+000	
  8.2982612e+000	  5.1824243e+002	  8.2890775e+000	
  8.2890775e+000	  5.1824243e+002	  8.2810487e+000	
  8.2810487e+000	  5.1824243e+002	  8.2740177e+000	
  8.2740177e+000	  5.1824243e+002	  8.2678513e+000	
  8.2678513e+000	  5.1824243e+002	  8.2624363e+000	
  8.2624363e+000	  5.1824243e+002	  8.2576755e+000	
  8.2576755e+000	  5.1824243e+002	  8.2534855e+000	
  8.2534855e+000	  5.1728934e+002	  8.0458829e+000	
  8.0458829e+000	  5.1728934e+002	  7.9151116e+000	
  7.9151116e+000	  5.1728934e+002	  7.8237822e+000	
  7.8237822e+000	  5.1728934e+002	  7.7558181e+000	
  7.7558181e+000	  5.1728934e+002	  7.7031223e+000	
  7.7031223e+000	  5.1728934e+002	  7.6610942e+000	
  7.6610942e+000	  5.1728934e+002	  7.6268826e+000	
  7.6268826e+000	  5.1728934e+002	  7.5986037e+000	
  7.5986037e+000	  5.1728934e+002	  7.5749502e+000	
  7.5749502e+000	  5.1728934e+002	  7.5549797e+000	
  7.5549797e+000	  5.1728934e+002	  7.5379913e+000	
  7.5379913e+000	  5.1728934e+002	  7.5234505e+000	
  7.5234505e+000	  5.1728934e+002	  7.5109412e+000	
  7.5109412e+000	  5.1728934e+002	  7.5001340e+000	
  7.5001340e+000	  5.1728934e+002	  7.4907638e+000	
  7.4907638e+000	  5.1728934e+002	  7.4826150e+000	
  7.4826150e+000	  5.1837550e+002	  7.5328680e+000	
  7.5328680e+000	  5.1837550e+002	  7.5828395e+000	
  7.5828395e+000	  5.1837550e+002	  7.6324831e+000	
  7.6324831e+000	  5.1837550e+002	  7.6817445e+000	
  7.6817445e+000	  5.1837550e+002	  7.7305605e+000	
  7.7305605e+000	  5.1837550e+002	  7.7788577e+000	
  7.7788577e+000	  5.1837550e+002	  7.8265517e+000	
  7.8265517e+000	  5.1837550e+002	  7.8735459e+000	
  7.8735459e+000	  5.1837550e+002	  7.9197315e+000	
  7.9197315e+000	  5.1837550e+002	  7.9649872e+000	
  7.9649872e+000	  5.1837550e+002	  8.0091803e+000	
  8.0091803e+000	  5.1837550e+002	  8.0521687e+000	
  8.0521687e+000	  5.1837550e+002	  8.0938039e+000	
  8.0938039e+000	  5.1837550e+002	  8.1339356e+000	
  8.1339356e+000	  5.1837550e+002	  8.1724173e+000	
  8.1724173e+000	  5.1837550e+002	  8.2091127e+000	
  8.2091127e+000	  5.1837550e+002	  8.2439024e+000	
  8.2439024e+000	  5.1837550e+002	  8.2766901e+000	
  8.2766901e+000	  5.2489935e+002	  9.7143372e+000	
  9.7143372e+000	  5.2489935e+002	  1.0029009e+001	
  1.0029009e+001	  5.2489935e+002	  1.0192764e+001	
  1.0192764e+001	  5.2489935e+002	  1.0299453e+001	
  1.0299453e+001	  5.2489935e+002	  1.0376096e+001	
  1.0376096e+001	  5.2489935e+002	  1.0434271e+001	
  1.0434271e+001	  5.2489935e+002	  1.0480012e+001	
  1.0480012e+001	  5.2489935e+002	  1.0516866e+001	
  1.0516866e+001	  5.2489935e+002	  1.0547091e+001	
  1.0547091e+001	  5.2489935e+002	  1.0572216e+001	
  1.0572216e+001	  5.2489935e+002	  1.0593321e+001	
  1.0593321e+001	  5.2489935e+002	  1.0611197e+001	
  1.0611197e+001	  5.2489935e+002	  1.0626442e+001	
  1.0626442e+001	  5.2489935e+002	  1.0639514e+001	
  1.0639514e+001	  5.2489935e+002	  1.0650774e+001	
  1.0650774e+001	  5.2489935e+002	  1.0660511e+001	
  1.0660511e+001	  5.1896134e+002	  1.0614035e+001	
  1.0614035e+001	  5.1896134e+002	  1.0568193e+001	
  1.0568193e+001	  5.1896134e+002	  1.0523045e+001	
  1.0523045e+001	  5.1896134e+002	  1.0478656e+001	
  1.0478656e+001	  5.1896134e+002	  1.0435091e+001	
  1.0435091e+001	  5.1896134e+002	  1.0392422e+001	
  1.0392422e+001	  5.1896134e+002	  1.0350720e+001	
  1.0350720e+001	  5.1896134e+002	  1.0310057e+001	
  1.0310057e+001	  5.1896134e+002	  1.0270507e+001	
  1.0270507e+001	  5.1875170e+002	  1.0227106e+001	
  1.0227106e+001	  5.1875170e+002	  1.0184616e+001	
  1.0184616e+001	  5.1875170e+002	  1.0143111e+001	
  1.0143111e+001	  5.1875170e+002	  1.0102663e+001	
  1.0102663e+001	  5.1875170e+002	  1.0063347e+001	
  1.0063347e+001	  5.1875170e+002	  1.0025236e+001	
  1.0025236e+001	  5.1875170e+002	  9.9883996e+000	
  9.9883996e+000	  5.1875170e+002	  9.9529042e+000	
  9.9529042e+000	  5.1875170e+002	  9.9188109e+000	
  9.9188109e+000	  5.1875170e+002	  9.8861738e+000	
  9.8861738e+000	  5.1875170e+002	  9.8550388e+000	
  9.8550388e+000	  5.1875170e+002	  9.8254424e+000	
  9.8254424e+000	  5.1875170e+002	  9.7974106e+000	
  9.7974106e+000	  5.1875170e+002	  9.7709579e+000	
  9.7709579e+000	  5.1875170e+002	  9.7460874e+000	
  9.7460874e+000	  5.1866978e+002	  9.7164598e+000	
  9.7164598e+000	  5.1866978e+002	  9.6884095e+000	
  9.6884095e+000	  5.1857671e+002	  9.6536836e+000	
  9.6536836e+000	  5.1857671e+002	  9.6204365e+000	
  9.6204365e+000	  5.1857671e+002	  9.5887219e+000	
  9.5887219e+000	  5.1857671e+002	  9.5585836e+000	
  9.5585836e+000	  5.1857671e+002	  9.5300537e+000	
  9.5300537e+000	  5.1857671e+002	  9.5031520e+000	
  9.5031520e+000	  5.1857671e+002	  9.4778847e+000	
  9.4778847e+000	  5.1857671e+002	  9.4542450e+000	
  9.4542450e+000	  5.1857671e+002	  9.4322129e+000	
  9.4322129e+000	  5.1857671e+002	  9.4117557e+000	
  9.4117557e+000	  5.1857671e+002	  9.3928296e+000	
  9.3928296e+000	  5.1857671e+002	  9.3753810e+000	
  9.3753810e+000	  5.1857671e+002	  9.3593476e+000	
  9.3593476e+000	  5.1857671e+002	  9.3446607e+000	
  9.3446607e+000	  5.1857671e+002	  9.3312467e+000	
  9.3312467e+000	  5.1857671e+002	  9.3190289e+000	
  9.3190289e+000	  5.1857671e+002	  9.3079289e+000	
  9.3079289e+000	  5.1857671e+002	  9.2978681e+000	
  9.2978681e+000	  5.1857671e+002	  9.2887687e+000	
  9.2887687e+000	  5.1857671e+002	  9.2805551e+000	
  9.2805551e+000	  5.1857671e+002	  9.2731545e+000	
  9.2731545e+000	  5.1366593e+002	  7.9155559e+000	
  7.9155559e+000	  5.1366593e+002	  7.5418013e+000	
  7.5418013e+000	  5.1366593e+002	  7.3608771e+000	
  7.3608771e+000	  5.1366593e+002	  7.2459144e+000	
  7.2459144e+000	  5.1366593e+002	  7.1643308e+000	
  7.1643308e+000	  5.1366593e+002	  7.1028295e+000	
  7.1028295e+000	  5.1366593e+002	  7.0546701e+000	
  7.0546701e+000	  5.1366593e+002	  7.0159641e+000	
  7.0159641e+000	  5.1366593e+002	  6.9842644e+000	
  6.9842644e+000	  5.1366593e+002	  6.9579324e+000	
  6.9579324e+000	  5.1366593e+002	  6.9358175e+000	
  6.9358175e+000	  5.1366593e+002	  6.9170818e+000	
  6.9170818e+000	  5.1366593e+002	  6.9010970e+000	
  6.9010970e+000	  5.1366593e+002	  6.8873803e+000	
  6.8873803e+000	  5.1366593e+002	  6.8755537e+000	
  6.8755537e+000	  5.1366593e+002	  6.8653158e+000	
  6.8653158e+000	  5.1366593e+002	  6.8564235e+000	
  6.8564235e+000	  5.1366593e+002	  6.8486776e+000	
  6.8486776e+000	  5.1863855e+002	  6.9039561e+000	
  6.9039561e+000	  5.1863855e+002	  6.9596515e+000	
  6.9596515e+000	  5.1863855e+002	  7.0158251e+000	
  7.0158251e+000	  5.1863855e+002	  7.0725478e+000	
  7.0725478e+000	  5.1863855e+002	  7.1299021e+000	
  7.1299021e+000	  5.1863855e+002	  7.1879840e+000	
  7.1879840e+000	  5.1863855e+002	  7.2469061e+000	
  7.2469061e+000	  5.1863855e+002	  7.3068008e+000	
  7.3068008e+000	  5.1863855e+002	  7.3678252e+000	
  7.3678252e+000	  5.1863855e+002	  7.4301661e+000	
  7.4301661e+000	  5.1863855e+002	  7.4940474e+000	
  7.4940474e+000	  5.1863855e+002	  7.5597391e+000	
  7.5597391e+000	  5.1863855e+002	  7.6275684e+000	
  7.6275684e+000	  5.1863855e+002	  7.6979348e+000	
  7.6979348e+000	  5.1863855e+002	  7.7713270e+000	
  7.7713270e+000	  5.1863855e+002	  7.8483434e+000	
  7.8483434e+000	  5.1863855e+002	  7.9297099e+000	
  7.9297099e+000	  5.1863855e+002	  8.0162854e+000	
  8.0162854e+000	  5.1845173e+002	  8.0730227e+000	
  8.0730227e+000	  5.1845173e+002	  8.1295605e+000	
  8.1295605e+000	  5.1845173e+002	  8.1856457e+000	
  8.1856457e+000	  5.1845173e+002	  8.2409522e+000	
  8.2409522e+000	  5.1845173e+002	  8.2950835e+000	
  8.2950835e+000	  5.1845173e+002	  8.3475865e+000	
  8.3475865e+000	  5.1847424e+002	  8.4054678e+000	
  8.4054678e+000	  5.1847424e+002	  8.4608827e+000	
  8.4608827e+000	  5.1847424e+002	  8.5131522e+000	
  8.5131522e+000	  5.1847424e+002	  8.5617207e+000	
  8.5617207e+000	  5.1847424e+002	  8.6062215e+000	
  8.6062215e+000	  5.1847424e+002	  8.6465004e+000	
  8.6465004e+000	  5.1853181e+002	  8.7063075e+000	
  8.7063075e+000	  5.1853181e+002	  8.7592321e+000	
  8.7592321e+000	  5.1853181e+002	  8.8054375e+000	
  8.8054375e+000	  5.1745956e+002	  8.4247111e+000	
  8.4247111e+000	  5.1745956e+002	  8.1812670e+000	
  8.1812670e+000	  5.1745956e+002	  8.0303344e+000	
  8.0303344e+000	  5.1745956e+002	  7.9272820e+000	
  7.9272820e+000	  5.1745956e+002	  7.8518520e+000	
  7.8518520e+000	  5.1745956e+002	  7.7940524e+000	
  7.7940524e+000	  5.1745956e+002	  7.7483488e+000	
  7.7483488e+000	  5.1745956e+002	  7.7113859e+000	
  7.7113859e+000	  5.1745956e+002	  7.6809857e+000	
  7.6809857e+000	  5.1745956e+002	  7.6556586e+000	
  7.6556586e+000	  5.1577238e+002	  7.5283350e+000	
  7.5283350e+000	  5.1577238e+002	  7.4398134e+000	
  7.4398134e+000	  5.1577238e+002	  7.3739158e+000	
  7.3739158e+000	  5.2245464e+002	  7.6559708e+000	
  7.6559708e+000	  5.2245464e+002	  8.3209070e+000	
  8.3209070e+000	  5.2245464e+002	  9.4830956e+000	
  9.4830956e+000	  5.2245464e+002	  9.8116708e+000	
  9.8116708e+000	  5.2245464e+002	  9.9802822e+000	
  9.9802822e+000	  5.2245464e+002	  1.0089424e+001	
  1.0089424e+001	  5.2245464e+002	  1.0167554e+001	
  1.0167554e+001	  5.2245464e+002	  1.0226732e+001	
  1.0226732e+001	  5.1848277e+002	  1.0177020e+001	
  1.0177020e+001	  5.1848277e+002	  1.0127606e+001	
  1.0127606e+001	  5.1848277e+002	  1.0078528e+001	
  1.0078528e+001	  5.1848277e+002	  1.0029827e+001	
  1.0029827e+001	  5.1848277e+002	  9.9815476e+000	
  9.9815476e+000	  5.1848277e+002	  9.9337422e+000	
  9.9337422e+000	  5.1848277e+002	  9.8864670e+000	
  9.8864670e+000	  5.1848277e+002	  9.8397841e+000	
  9.8397841e+000	  5.1848277e+002	  9.7937616e+000	
  9.7937616e+000	  5.1848277e+002	  9.7484738e+000	
  9.7484738e+000	  5.1848277e+002	  9.7040007e+000	
  9.7040007e+000	  5.1848277e+002	  9.6604278e+000	
  9.6604278e+000	  5.1848277e+002	  9.6178456e+000	
  9.6178456e+000	  5.1848277e+002	  9.5763486e+000	
  9.5763486e+000	  5.1848277e+002	  9.5360338e+000	
  9.5360338e+000	  5.1848277e+002	  9.4969988e+000	
  9.4969988e+000	  5.1848277e+002	  9.4593397e+000	
  9.4593397e+000	  5.1848277e+002	  9.4231486e+000	
  9.4231486e+000	  5.1848277e+002	  9.3885106e+000	
  9.3885106e+000	  5.1848277e+002	  9.3555011e+000	
  9.3555011e+000	  5.1848277e+002	  9.3241826e+000	
  9.3241826e+000	  5.1848277e+002	  9.2946030e+000	
  9.2946030e+000	  5.1878635e+002	  9.3258032e+000	
  9.3258032e+000	  5.1878635e+002	  9.3518919e+000	
  9.3518919e+000	  5.1878635e+002	  9.3738996e+000	
  9.3738996e+000	  5.1878635e+002	  9.3926006e+000	
  9.3926006e+000	  5.1878635e+002	  9.4085883e+000	
  9.4085883e+000	  5.1878635e+002	  9.4223259e+000	
  9.4223259e+000	  5.1878635e+002	  9.4341808e+000	
  9.4341808e+000	  5.1878635e+002	  9.4444482e+000	
  9.4444482e+000	  5.1878635e+002	  9.4533682e+000	
  9.4533682e+000	  5.1878635e+002	  9.4611382e+000	
  9.4611382e+000	  5.1878635e+002	  9.4679220e+000	
  9.4679220e+000	  5.1878635e+002	  9.4738562e+000	
  9.4738562e+000	  5.1878635e+002	  9.4790562e+000	
  9.4790562e+000	  5.1878635e+002	  9.4836196e+000	
  9.4836196e+000	  5.1878635e+002	  9.4876294e+000	
  9.4876294e+000	  5.1878635e+002	  9.4911568e+000	
  9.4911568e+000	  5.1878635e+002	  9.4942628e+000	
  9.4942628e+000	  5.1878635e+002	  9.4970002e+000	
  9.4970002e+000	  5.1878635e+002	  9.4994145e+000	
  9.4994145e+000	  5.1878635e+002	  9.5015452e+000	
  9.5015452e+000	  5.1878635e+002	  9.5034267e+000	
  9.5034267e+000	  5.1878635e+002	  9.5050891e+000	
  9.5050891e+000	  5.1956967e+002	  9.5948235e+000	
  9.5948235e+000	  5.1956967e+002	  9.6617134e+000	
  9.6617134e+000	  5.1956967e+002	  9.7136369e+000	
  9.7136369e+000	  5.1956967e+002	  9.7550821e+000	
  9.7550821e+000	  5.1956967e+002	  9.7888372e+000	
  9.7888372e+000	  5.1956967e+002	  9.8167484e+000	
  9.8167484e+000	  5.1956967e+002	  9.8400991e+000	
  9.8400991e+000	  5.1680077e+002	  9.6678392e+000	
  9.6678392e+000	  5.1680077e+002	  9.4261511e+000	
  9.4261511e+000	  5.1680077e+002	  9.0084912e+000	
  9.0084912e+000	  5.1680077e+002	  8.3703467e+000	
  8.3703467e+000	  5.1680077e+002	  8.0234329e+000	
  8.0234329e+000	  5.1680077e+002	  7.8411082e+000	
  7.8411082e+000	  5.1680077e+002	  7.7242850e+000	
  7.7242850e+000	  5.1680077e+002	  7.6413462e+000	
  7.6413462e+000	  5.1680077e+002	  7.5788868e+000	
  7.5788868e+000	  5.1680077e+002	  7.5300391e+000	
  7.5300391e+000	  5.1680077e+002	  7.4908283e+000	
  7.4908283e+000	  5.1680077e+002	  7.4587522e+000	
  7.4587522e+000	  5.1680077e+002	  7.4321354e+000	
  7.4321354e+000	  5.1680077e+002	  7.4098030e+000	
  7.4098030e+000	  5.1680077e+002	  7.3909000e+000	
  7.3909000e+000	  5.1680077e+002	  7.3747860e+000	
  7.3747860e+000	  5.1680077e+002	  7.3609695e+000	
  7.3609695e+000	  5.1680077e+002	  7.3490658e+000	
  7.3490658e+000	  5.1680077e+002	  7.3387687e+000	
  7.3387687e+000	  5.1680077e+002	  7.3298312e+000	
  7.3298312e+000	  5.1680077e+002	  7.3220513e+000	
  7.3220513e+000	  5.1806739e+002	  7.3610574e+000	
  7.3610574e+000	  5.1806739e+002	  7.3988419e+000	
  7.3988419e+000	  5.1806739e+002	  7.4353354e+000	
  7.4353354e+000	  5.1806739e+002	  7.4704730e+000	
  7.4704730e+000	  5.1806739e+002	  7.5041952e+000	
  7.5041952e+000	  5.1806739e+002	  7.5364498e+000	
  7.5364498e+000	  5.1806739e+002	  7.5671931e+000	
  7.5671931e+000	  5.1806739e+002	  7.5963913e+000	
  7.5963913e+000	  5.1806739e+002	  7.6240209e+000	
  7.6240209e+000	  5.1806739e+002	  7.6500703e+000	
  7.6500703e+000	  5.1806739e+002	  7.6745393e+000	
  7.6745393e+000	  5.1806739e+002	  7.6974396e+000	
  7.6974396e+000	  5.1806739e+002	  7.7187944e+000	
  7.7187944e+000	  5.1806739e+002	  7.7386373e+000	
  7.7386373e+000	  5.1806739e+002	  7.7570122e+000	
  7.7570122e+000	  5.1806739e+002	  7.7739709e+000	
  7.7739709e+000	  5.1837252e+002	  7.8214082e+000	
  7.8214082e+000	  5.1837252e+002	  7.8681261e+000	
  7.8681261e+000	  5.1837252e+002	  7.9140165e+000	
  7.9140165e+000	  5.1837252e+002	  7.9589598e+000	
  7.9589598e+000	  5.1837252e+002	  8.0028256e+000	
  8.0028256e+000	  5.1837252e+002	  8.0454751e+000	
  8.0454751e+000	  5.1837252e+002	  8.0867641e+000	
  8.0867641e+000	  5.1837252e+002	  8.1265472e+000	
  8.1265472e+000	  5.1837252e+002	  8.1646832e+000	
  8.1646832e+000	  5.1837252e+002	  8.2010416e+000	
  8.2010416e+000	  5.1837252e+002	  8.2355084e+000	
  8.2355084e+000	  5.1837252e+002	  8.2679924e+000	
  8.2679924e+000	  5.1837252e+002	  8.2984293e+000	
  8.2984293e+000	  5.1837252e+002	  8.3267852e+000	
  8.3267852e+000	  5.1837252e+002	  8.3530568e+000	
  8.3530568e+000	  5.1783705e+002	  8.2251260e+000	
  8.2251260e+000	  5.1783705e+002	  8.1320419e+000	
  8.1320419e+000	  5.1783705e+002	  8.0617067e+000	
  8.0617067e+000	  5.1783705e+002	  8.0068439e+000	
  8.0068439e+000	  5.1783705e+002	  7.9629873e+000	
  7.9629873e+000	  5.1783705e+002	  7.9272637e+000	
  7.9272637e+000	  5.1783705e+002	  7.8977370e+000	
  7.8977370e+000	  5.1783705e+002	  7.8730500e+000	
  7.8730500e+000	  5.1783705e+002	  7.8522182e+000	
  7.8522182e+000	  5.1783705e+002	  7.8345075e+000	
  7.8345075e+000	  5.1783705e+002	  7.8193575e+000	
  7.8193575e+000	  5.1783705e+002	  7.8063315e+000	
  7.8063315e+000	  5.1783705e+002	  7.7950838e+000	
  7.7950838e+000	  5.1783705e+002	  7.7853365e+000	
  7.7853365e+000	  5.1783705e+002	  7.7768635e+000	
  7.7768635e+000	  5.1783705e+002	  7.7694790e+000	
  7.7694790e+000	  5.1783705e+002	  7.7630286e+000	
  7.7630286e+000	  5.1783705e+002	  7.7573833e+000	
  7.7573833e+000	  5.1783705e+002	  7.7524343e+000	
  7.7524343e+000	  5.1783705e+002	  7.7480894e+000	
  7.7480894e+000	  5.1816426e+002	  7.7750911e+000	
  7.7750911e+000	  5.1816426e+002	  7.8004895e+000	
  7.8004895e+000	  5.1816426e+002	  7.8242898e+000	
  7.8242898e+000	  5.1816426e+002	  7.8465095e+000	
  7.8465095e+000	  5.1816426e+002	  7.8671776e+000	
  7.8671776e+000	  5.1816426e+002	  7.8863341e+000	
  7.8863341e+000	  5.1816426e+002	  7.9040286e+000	
  7.9040286e+000	  5.1816426e+002	  7.9203188e+000	
